Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2001","2001","million No","6.4","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2000-2002."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2002","2002","million No","6.6","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2001-2003."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2003","2003","million No","6.8","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2002-2004."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2004","2004","million No","7.1","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2003-2005."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2005","2005","million No","7.3","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2004-2006."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2006","2006","million No","7.6","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2005-2007."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2007","2007","million No","7.8","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2006-2008."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2008","2008","million No","8","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2007-2009."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2009","2009","million No","8.4","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2008-2010."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","8.6","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2009-2011."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","8.6","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2010-2012."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","8.3","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2011-2013."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","8.1","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2012-2014."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","8.1","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2013-2015."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","8.3","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2014-2016."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","8.5","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2015-2017."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2017","2017","million No","8.7","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2016-2018."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2018","2018","million No","8.6","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2017-2019."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2019","2019","million No","8.5","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2018-2020. Estimates are based on projected values."
"SDGB","SDG Indicators","706","Somalia","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2020","2020","million No","8.4","E","Estimated value","Estimated | Food and Agriculture Organization of the United Nations (FAO) | 3-year average of the period 2019-2021. Estimates are based on projected values."
